Date,Symbol,Adj Close,Close,High,Low,Open,Volume
11/20/2019,FFIV,143.5599976,143.5599976,144.9199982,142.3000031,143.3000031,522200
11/21/2019,FFIV,142.6000061,142.6000061,143.6000061,141.8200073,143.4400024,599800
11/22/2019,FFIV,142.8399963,142.8399963,143.5599976,141.6199951,143.5599976,367800
11/25/2019,FFIV,145.8800049,145.8800049,146.0899963,142.3899994,143.0800018,728500
11/26/2019,FFIV,145.3099976,145.3099976,146.1999969,144.4900055,145.2799988,1822400
11/27/2019,FFIV,145.6300049,145.6300049,146.8000031,144.8999939,146,586600
11/29/2019,FFIV,145.7100067,145.7100067,146.1999969,144.9199982,145.4499969,290100
12/2/2019,FFIV,144.4900055,144.4900055,146.1600037,143.8200073,145.6999969,583700
12/3/2019,FFIV,144.4199982,144.4199982,144.5299988,141.6199951,144.2299957,1012800
12/4/2019,FFIV,143.5800018,143.5800018,146.7100067,143.5599976,144.75,598000
12/5/2019,FFIV,137.9600067,137.9600067,138.4499969,134.6100006,137.4400024,1596400
12/6/2019,FFIV,138,138,139.5399933,135.9400024,138.5700073,882700
12/9/2019,FFIV,137.2799988,137.2799988,138.6799927,137.2400055,138.3200073,501700
12/10/2019,FFIV,137.8800049,137.8800049,138.6399994,136.7899933,138.1000061,777700
12/11/2019,FFIV,140.8200073,140.8200073,140.8699951,138.1600037,138.3999939,678800
12/12/2019,FFIV,143.4600067,143.4600067,143.9299927,140.5899963,141.1999969,632600
12/13/2019,FFIV,139.25,139.25,143.0599976,138.9900055,142.5399933,975000
12/16/2019,FFIV,138.6999969,138.6999969,140.8200073,138.2599945,140.8200073,695500
12/17/2019,FFIV,141.2200012,141.2200012,142.2700043,138,139.3200073,833900
12/18/2019,FFIV,140.3500061,140.3500061,141.9900055,139.5700073,141.4299927,910600
12/19/2019,FFIV,143.6900024,143.6900024,144.0399933,140.6799927,140.6799927,668900
12/20/2019,FFIV,138.3200073,138.3200073,139,132.5,132.5,2012600
12/23/2019,FFIV,139.0399933,139.0399933,140.1699982,137.8800049,138.5700073,571200
12/24/2019,FFIV,138.5899963,138.5899963,139.7700043,138.2400055,139.6000061,134200
12/26/2019,FFIV,139.0800018,139.0800018,139.9400024,137.7899933,138.8899994,313400
